avail,pages,size_mb,page_health,pages,size_mb,pct_of_table,,,,
5536,164,1.28,,,,,,,,
5568,4593,35.88,,,,,,,,
5600,6695,52.3,,,,,,,,
5632,566,4.42,,,,,,,,
5664,8,0.06,,,,,,,,
5696,12,0.09,,,,,,,,
5728,1543,12.05,,,,,,,,
5760,6271,48.99,,,,,,,,
5792,1284,10.03,,,,,,,,
5824,51,0.4,,,,,,,,
5856,1,0.01,,,,,,,,
5888,300,2.34,,,,,,,,
5920,3803,29.71,,,,,,,,
5952,2197,17.16,,,,,,,,
5984,136,1.06,,,,,,,,
6016,3,0.02,,,,,,,,
6048,21,0.16,,,,,,,,
6080,1468,11.47,,,,,,,,
6112,2360,18.44,,,,,,,,
6144,311,2.43,,,,,,,,
6176,16,0.13,,,,,,,,
6208,1,0.01,,,,,,,,
6240,335,2.62,,,,,,,,
6272,1482,11.58,,,,,,,,
6304,401,3.13,,,,,,,,
6336,39,0.3,,,,,,,,
6400,30,0.23,,,,,,,,
6432,613,4.79,,,,,,,,
6464,400,3.13,,,,,,,,
6496,52,0.41,,,,,,,,
6528,2,0.02,,,,,,,,
6560,1,0.01,,,,,,,,
6592,158,1.23,,,,,,,,
6624,284,2.22,,,,,,,,
6656,51,0.4,,,,,,,,
6688,8,0.06,,,,,,,,
6752,19,0.15,,,,,,,,
6784,119,0.93,,,,,,,,
6816,43,0.34,,,,,,,,
6848,9,0.07,,,,,,,,
6944,27,0.21,,,,,,,,
6976,18,0.14,,,,,,,,
7008,9,0.07,,,,,,,,
7104,1,0.01,,,,,,,,
7136,8,0.06,,,,,,,,
7168,6,0.05,,,,,,,,
7296,2,0.02,,,,,,,,
