DateT,Servername,Database_Name,Index_Details
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.HCM_PF_ParentChildMapping_STG_CURR_MIG') AND NAME ='IND
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.HCM_PF_ParentChildMapping_STG_CURR_MIG') AND NAME ='IND
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.CentralRepository_Email_Address_MIG') AND NAME ='INDXC_
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.HCM_PS_BUS_UNIT_TBL_HR_STG_CURR') AND NAME ='INDXC_HCM_
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.LMS_TBL_TMX_REGISTRATION_STG_CURR') AND NAME ='INDXC_LM
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.LMS_TBL_TMX_REGISTRATION_STG_CURR') AND NAME ='INDXC_LM
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.CentralRepository_Grade_Master_MIG') AND NAME ='INDXC_C
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.CentralRepository_Talview_Techiosdata_EDS') AND NAME ='
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.HCM_PS_CT_DEPT_TYPE_STG_CURR') AND NAME ='INDXC_HCM_PS_
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.HCM_PS_VISA_PERMIT_TBL_STG_CURR') AND NAME ='IXNC_HCM_P
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.CentralRepository_HCMLocation_MIG') AND NAME ='INDXC_Ce
Mar 11 2025 11:20PM,ctsazsimibcapps1.inso1a101c37461fa.database.windows.net,CentralRepository,IF NOT EXISTS(SELECT 1 FROM sys.indexes WHERE object_id = object_id('dbo.CentralRepository_HCMLocation_MIG') AND NAME ='CentralR
